skillID,level,damage,maxSkillLevel,element,elementalPower,radius,duration,tickRate,isPersistent,moveSpeed
Vine,1,10,5,Earth,1,15,3,1,1,0
Vine,2,15,5,Earth,1.2,15,3,1,1,0
Vine,3,20,5,Earth,1.4,15,3,1,1,0
Vine,4,25,5,Earth,1.6,15,3,1,1,0
Vine,5,30,5,Earth,1.8,15,3,1,1,0
FrostTide,1,10,5,Water,1,5,3,1,0,0
FrostTide,2,15,5,Water,1.2,5,3,1,0,0
FrostTide,3,20,5,Water,1.4,5,3,1,0,0
FrostTide,4,25,5,Water,1.6,5,3,1,0,0
FrostTide,5,30,5,Water,1.8,5,3,1,0,0
ShadowWaltz,1,10,5,Dark,1,5,3,1,0,0
ShadowWaltz,2,15,5,Dark,1.2,5,3,1,0,0
ShadowWaltz,3,20,5,Dark,1.4,5,3,1,0,0
ShadowWaltz,4,25,5,Dark,1.6,5,3,1,0,0
ShadowWaltz,5,30,5,Dark,1.8,5,3,1,0,0
FireRing,1,10,5,Fire,1,5,3,1,0,0
FireRing,2,15,5,Fire,1.2,5,3,1,0,0
FireRing,3,20,5,Fire,1.4,5,3,1,0,0
FireRing,4,25,5,Fire,1.6,5,3,1,0,0
FireRing,5,30,5,Fire,1.8,5,3,1,0,0
