skillID,level,damage,maxSkillLevel,element,elementalPower,effectDuration,cooldown,triggerChance,damageIncrease,defenseIncrease,expAreaIncrease,homingActivate,hpIncrease,moveSpeedIncrease,attackSpeedIncrease,attackRangeIncrease,hpRegenIncrease
TidalEssence,1,10,5,Water,1,5,10,1,0,0,0,0,0,0,0,0,0
TidalEssence,2,15,5,Water,1.2,5,10,1,0,0,0,0,0,0,0,0,0
TidalEssence,3,20,5,Water,1.4,5,10,1,0,0,0,0,0,0,0,0,0
TidalEssence,4,25,5,Water,1.6,5,10,1,0,0,0,0,0,0,0,0,0
TidalEssence,5,30,5,Water,1.8,5,10,1,0,0,0,0,0,0,0,0,0
GaiasGrace,1,10,5,Earth,1,5,10,1,0,0,0,0,0,0,0,0,0
GaiasGrace,2,15,5,Earth,1.2,5,10,1,0,0,0,0,0,0,0,0,0
GaiasGrace,3,20,5,Earth,1.4,5,10,1,0,0,0,0,0,0,0,0,0
GaiasGrace,4,25,5,Earth,1.6,5,10,1,0,0,0,0,0,0,0,0,0
GaiasGrace,5,30,5,Earth,1.8,5,10,1,0,0,0,0,0,0,0,0,0
AbyssalExpansion,1,10,5,Dark,1,5,10,1,0,0,0,0,0,0,0,0,0
AbyssalExpansion,2,15,5,Dark,1.2,5,10,1,0,0,0,0,0,0,0,0,0
AbyssalExpansion,3,20,5,Dark,1.4,5,10,1,0,0,0,0,0,0,0,0,0
AbyssalExpansion,4,25,5,Dark,1.6,5,10,1,0,0,0,0,0,0,0,0,0
AbyssalExpansion,5,30,5,Dark,1.8,5,10,1,0,0,0,0,0,0,0,0,0
ThermalElevation,1,10,5,Fire,1,5,10,1,0,0,0,0,0,0,0,0,0
ThermalElevation,2,15,5,Fire,1.2,5,10,1,0,0,0,0,0,0,0,0,0
ThermalElevation,3,20,5,Fire,1.4,5,10,1,0,0,0,0,0,0,0,0,0
ThermalElevation,4,25,5,Fire,1.6,5,10,1,0,0,0,0,0,0,0,0,0
ThermalElevation,5,30,5,Fire,1.8,5,10,1,0,0,0,0,0,0,0,0,0
