skillID,level,damage,maxSkillLevel,element,elementalPower,projectileSpeed,projectileScale,shotInterval,pierceCount,attackRange,homingRange,isHoming,explosionRad,projectileCount,innerInterval
EarthRift,1,10,5,Earth,1,10,1,0.5,1,10,5,0,0,1,0.1
EarthRift,2,15,5,Earth,1.2,10,1,0.5,1,10,5,0,0,1,0.1
EarthRift,3,20,5,Earth,1.4,10,1,0.5,1,10,5,0,0,1,0.1
EarthRift,4,25,5,Earth,1.6,10,1,0.5,1,10,5,0,0,1,0.1
EarthRift,5,30,5,Earth,1.8,10,1,0.5,1,10,5,0,0,1,0.1
FrostHunt,1,10,5,Water,1,10,1,0.5,1,10,5,0,0,1,0.1
FrostHunt,2,15,5,Water,1.2,10,1,0.5,1,10,5,0,0,1,0.1
FrostHunt,3,20,5,Water,1.4,10,1,0.5,1,10,5,0,0,1,0.1
FrostHunt,4,25,5,Water,1.6,10,1,0.5,1,10,5,0,0,1,0.1
FrostHunt,5,30,5,Water,1.8,10,1,0.5,1,10,5,0,0,1,0.1
EventHorizon,1,10,5,Dark,1,10,1,3,1,10,5,0,0,1,0.1
EventHorizon,2,15,5,Dark,1.2,10,1,3,1,10,5,0,0,1,0.1
EventHorizon,3,20,5,Dark,1.4,10,1,3,1,10,5,0,0,1,0.1
EventHorizon,4,25,5,Dark,1.6,10,1,3,1,10,5,0,0,1,0.1
EventHorizon,5,30,5,Dark,1.8,10,1,3,1,10,5,0,0,1,0.1
Flame,1,10,5,Fire,1,10,1,0.5,1,10,5,0,0,1,0.1
Flame,2,15,5,Fire,1.2,10,1,0.5,1,10,5,0,0,1,0.1
Flame,3,20,5,Fire,1.4,10,1,0.5,1,10,5,0,0,1,0.1
Flame,4,25,5,Fire,1.6,10,1,0.5,1,10,5,0,0,1,0.1
Flame,5,30,5,Fire,1.8,10,1,0.5,1,10,5,0,0,1,0.1
